FacilityID,FacilityName,ReportPeriod,VOCs,UnitsOfVOCs,TSP,UnitsOfTSP,SOx,UnitsOfSOx,NOx,UnitsOfNOx,Status
T52A0699,龍鼎昌砂石股份有限公司,2016年第4季,0,公噸,1.568,公噸,0,公噸,0,公噸,完成審查
T52A0699,龍鼎昌砂石股份有限公司,2016年第3季,0,公噸,1.389,公噸,0,公噸,0,公噸,完成審查
T52A0679,九地企業有限公司,2016年第4季,0,公噸,2.792,公噸,0,公噸,0,公噸,完成審查
T52A0679,九地企業有限公司,2016年第3季,0,公噸,2.679,公噸,0,公噸,0,公噸,完成審查
T42A1514,金萬成鋼鐵有限公司,2016年第3季,1.929,公噸,0,公噸,0,公噸,0,公噸,完成核算
T42A1514,金萬成鋼鐵有限公司,2016年第2季,6.429,公噸,0,公噸,0,公噸,0,公噸,完成核算
R9903489,弘惠企業有限公司西港廠,2016年第4季,0.36,公噸,0,公噸,0,公噸,0,公噸,完成核算
R9903489,弘惠企業有限公司西港廠,2016年第3季,0.362,公噸,0,公噸,0,公噸,0,公噸,完成核算
Q77A0445,弘曄金屬工業有限公司,2016年第1季,2.034,公噸,0,公噸,0,公噸,0,公噸,完成申報
Q77A0376,嘉忠車輛配備股份有限公司水上廠,2016年第1季,5.99,公噸,0,公噸,0,公噸,0,公噸,完成申報
Q6907446,品宗化工工業股份有限公司,2016年第1季,0.775,公噸,0,公噸,0,公噸,0,公噸,完成申報
Q6803612,詠勤企業股份有限公司,2016年第1季,2.074,公噸,0,公噸,0,公噸,0,公噸,完成核算
P54A0875,五山商店,2016年第4季,0,公噸,0,公噸,0.002,公噸,0.038,公噸,完成核算
P54A0875,五山商店,2016年第3季,0,公噸,0,公噸,0.018,公噸,0.354,公噸,完成核算
P54A0875,五山商店,2016年第2季,0,公噸,0,公噸,0.018,公噸,0.351,公噸,完成核算
P54A0875,五山商店,2016年第1季,0,公噸,0,公噸,0.017,公噸,0.333,公噸,完成核算
P5400249,華夏科學農化股份有限公司,2016年第4季,0,公噸,0,公噸,0.005,公噸,0.003,公噸,完成核算
P49A0301,源品香豆皮廠,2016年第4季,0,公噸,0,公噸,0.003,公噸,0.068,公噸,完成核算
L9200611,誌揚木業有限公司,2016年第4季,0.002,公噸,0,公噸,0,公噸,0,公噸,完成核算
L9200611,誌揚木業有限公司,2016年第3季,0.002,公噸,0,公噸,0,公噸,0,公噸,完成核算
L9200611,誌揚木業有限公司,2016年第2季,0.002,公噸,0,公噸,0,公噸,0,公噸,完成核算
L9200611,誌揚木業有限公司,2016年第1季,0.002,公噸,0,公噸,0,公噸,0,公噸,完成核算
L02A1606,龍泰布業有限公司,2016年第4季,0.009,公噸,0,公噸,0,公噸,0,公噸,完成核算
J59B0259,南茂科技股份有限公司湖口一廠,2016年第4季,0,公噸,0,公噸,0,公噸,0,公噸,核算確認中
H50A9632,樂平方有限公司,2016年第4季,15.668,公噸,0,公噸,0,公噸,0,公噸,完成核算
H50A9632,樂平方有限公司,2016年第3季,4.928,公噸,0,公噸,0,公噸,0,公噸,完成核算
H50A9632,樂平方有限公司,2016年第2季,1.404,公噸,0,公噸,0,公噸,0,公噸,完成核算
H50A8793,佑冠昇科技股份有限公司,2016年第4季,7.663,公噸,0,公噸,0,公噸,0,公噸,完成核算
H50A8793,佑冠昇科技股份有限公司,2016年第3季,7.471,公噸,0,公噸,0,公噸,0,公噸,完成核算
H50A8793,佑冠昇科技股份有限公司,2016年第2季,3.973,公噸,0,公噸,0,公噸,0,公噸,完成核算
H50A8793,佑冠昇科技股份有限公司,2016年第1季,4.757,公噸,0,公噸,0,公噸,0,公噸,完成核算
H47A9742,柯富伊企業有限公司二廠,2016年第4季,0.985,公噸,0,公噸,0,公噸,0,公噸,完成核算
F1709668,兆點科技有限公司,2016年第2季,3.067,公噸,0,公噸,0,公噸,0,公噸,完成申報
F1709668,兆點科技有限公司,2016年第1季,1.771,公噸,0,公噸,0,公噸,0,公噸,完成申報
F0419727,國都汽車股份有限公司凌志中和分公司,2016年第4季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
F0419727,國都汽車股份有限公司凌志中和分公司,2016年第3季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
F0419727,國都汽車股份有限公司凌志中和分公司,2016年第2季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
F0419727,國都汽車股份有限公司凌志中和分公司,2016年第1季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
C10A2685,維德醫療社團法人維德醫院,2016年第4季,0,公噸,0,公噸,0,公噸,0.009,公噸,完成核算
C10A2685,維德醫療社團法人維德醫院,2016年第3季,0,公噸,0,公噸,0,公噸,0.006,公噸,完成核算
C10A2685,維德醫療社團法人維德醫院,2016年第2季,0,公噸,0,公噸,0,公噸,0.009,公噸,完成核算
C10A2685,維德醫療社團法人維德醫院,2016年第1季,0,公噸,0,公噸,0,公噸,0.011,公噸,完成核算
B9104690,瑞昇塑膠股份有限公司,2016年第4季,2.277,公噸,0,公噸,0,公噸,0,公噸,完成核算
B9104690,瑞昇塑膠股份有限公司,2016年第3季,2.114,公噸,0,公噸,0,公噸,0,公噸,完成核算
B9104690,瑞昇塑膠股份有限公司,2016年第2季,2.221,公噸,0,公噸,0,公噸,0,公噸,完成核算
B9104690,瑞昇塑膠股份有限公司,2016年第1季,1.988,公噸,0,公噸,0,公噸,0,公噸,完成核算
B8604959,晶傑精機有限公司,2016年第4季,0.005,公噸,0,公噸,0,公噸,0,公噸,完成核算
B8604959,晶傑精機有限公司,2016年第3季,0.003,公噸,0,公噸,0,公噸,0,公噸,完成核算
B8604959,晶傑精機有限公司,2016年第2季,0.007,公噸,0,公噸,0,公噸,0,公噸,完成核算
B8604959,晶傑精機有限公司,2016年第1季,0.003,公噸,0,公噸,0,公噸,0,公噸,完成核算
Q77A0445,弘曄金屬工業有限公司,2015年第4季,2.109,公噸,0,公噸,0,公噸,0,公噸,完成申報
Q77A0445,弘曄金屬工業有限公司,2015年第3季,1.145,公噸,0,公噸,0,公噸,0,公噸,完成申報
Q77A0445,弘曄金屬工業有限公司,2015年第2季,1.318,公噸,0,公噸,0,公噸,0,公噸,完成申報
Q77A0445,弘曄金屬工業有限公司,2015年第1季,1.47,公噸,0,公噸,0,公噸,0,公噸,完成申報
Q77A0376,嘉忠車輛配備股份有限公司水上廠,2015年第4季,6.686,公噸,0,公噸,0,公噸,0,公噸,完成申報
Q77A0376,嘉忠車輛配備股份有限公司水上廠,2015年第3季,6.75,公噸,0,公噸,0,公噸,0,公噸,完成申報
Q77A0376,嘉忠車輛配備股份有限公司水上廠,2015年第2季,5.923,公噸,0,公噸,0,公噸,0,公噸,完成申報
Q77A0376,嘉忠車輛配備股份有限公司水上廠,2015年第1季,3.253,公噸,0,公噸,0,公噸,0,公噸,完成申報
Q6907446,品宗化工工業股份有限公司,2015年第4季,1.332,公噸,0,公噸,0,公噸,0,公噸,完成申報
Q6907446,品宗化工工業股份有限公司,2015年第3季,1.947,公噸,0,公噸,0,公噸,0,公噸,完成申報
Q6907446,品宗化工工業股份有限公司,2015年第2季,1.015,公噸,0,公噸,0,公噸,0,公噸,完成申報
Q6907446,品宗化工工業股份有限公司,2015年第1季,2.904,公噸,0,公噸,0,公噸,0,公噸,完成申報
Q6803612,詠勤企業股份有限公司,2015年第4季,2.524,公噸,0,公噸,0,公噸,0,公噸,完成核算
Q6803612,詠勤企業股份有限公司,2015年第3季,2.574,公噸,0,公噸,0,公噸,0,公噸,完成核算
Q6803612,詠勤企業股份有限公司,2015年第2季,3.094,公噸,0,公噸,0,公噸,0,公噸,完成核算
Q6803612,詠勤企業股份有限公司,2015年第1季,2.609,公噸,0,公噸,0,公噸,0,公噸,完成核算
P54A0875,五山商店,2015年第4季,0,公噸,0,公噸,0.018,公噸,0.349,公噸,完成核算
