MeasureId,MeasureLocation,MeasureDate,County,Township,MeasureAddress,RadiatorTypeName,PowerDensityMax,ItemUnit,Legal
A00912,臺北市仁愛國小電磁場量測,2014-06-23,臺北市,大安區,安和路一段60號,學校極低頻設施,7.6,mG,True
E00867,LE103-06-003 (二苓國民小學),2014-06-06,高雄市,小港區,高雄市小港區立群路6號,學校極低頻設施,5.091,mG,True
G00664,宜蘭市公園路變電箱量測,2014-06-13,宜蘭縣,宜蘭市,公園路369號旁,落地型變壓器,2.412,mG,True
G00663,宜蘭市建蘭北路變電箱量測,2014-06-13,宜蘭縣,宜蘭市,建蘭北路與縣政十街交叉口,落地型變壓器,1.283,mG,True
G00655,冬山鄉永興路一段變電箱量測,2014-06-13,宜蘭縣,冬山鄉,永興路一段22號前,落地型變壓器,9.203,mG,True
Q10123,新港鄉古民國小,2014-06-16,嘉義縣,新港鄉,古民村161號,學校極低頻設施,39.15,mG,True
H00858,桃園縣中壢市忠孝路331號旁落地型變壓器量測,2014-06-17,桃園市,中壢區,忠孝路331號,落地型變壓器,15.2,mG,True
H00857,桃園縣中壢市(復興宮)旁文化二路與元生三街交叉路口落地型變壓器量測,2014-06-17,桃園市,中壢區,中壢市(復興宮)旁文化二路與元生三街交叉路口,落地型變壓器,1.4,mG,True
A00910,內湖區民權東路六段30號旁-落地型變壓器檢測,2014-06-16,臺北市,內湖區,民權東路六段30號,落地型變壓器,1.6,mG,True
H00853,桃園市國豐六街227巷26號旁落地型變壓器量測,2014-06-11,桃園市,桃園區,國豐六街227巷26號旁,落地型變壓器,24.4,mG,True
G00657,羅東鎮光榮路變電箱量測,2014-06-13,宜蘭縣,羅東鎮,光榮路48號前,落地型變壓器,28.79,mG,True
G00656,冬山鄉冬山路五段變電箱量測,2014-06-13,宜蘭縣,冬山鄉,冬山路五段279號前,落地型變壓器,63.26,mG,True
G00652,蘇澳鎮頂強路變電箱量測,2014-06-12,宜蘭縣,蘇澳鎮,頂強路19號前,落地型變壓器,2.841,mG,True
H00851,桃園市國豐六街52號旁落地型變壓器量測,2014-06-11,桃園市,桃園區,國豐六街52號,落地型變壓器,14.6,mG,True
E00865,LE103-06-001 (民族國民中學),2014-06-03,高雄市,三民區,高雄市三民區覺民路363號,學校極低頻設施,5.507,mG,True
G00647,員山鄉復興路變電箱量測,2014-06-12,宜蘭縣,員山鄉,復興路(圓山公園前),落地型變壓器,3.788,mG,True
A00907,內湖區新明路143巷與潭美街口-落地型變壓,2014-06-04,臺北市,內湖區,新明路143巷與潭美街口,落地型變壓器,1.8,mG,True
A00911,臺北市博愛國小電磁場量測,2014-06-18,臺北市,信義區,松仁路95巷20號,學校極低頻設施,6.3,mG,True
H00855,桃園縣中壢市文化二路路與長春路交叉路口,2014-06-17,桃園市,桃園區,桃園縣中壢市文化二路路與長春路交叉路口,落地型變壓器,38.7,mG,True
H00854,桃園縣中壢市長春三路與吉林路55巷交叉口,2014-06-17,桃園市,桃園區,桃園縣中壢市長春三路與吉林路55巷交叉口,落地型變壓器,7.7,mG,True
E00866,LE103-06-002 (高雄高級工業職業學校),2014-06-04,高雄市,三民區,高雄市三民區建工路419號,學校極低頻設施,1.939,mG,True
G00662,宜蘭市建蘭南路變電箱量測,2014-06-13,宜蘭縣,宜蘭市,建蘭南路155號旁,落地型變壓器,10.3,mG,True
G00661,五結鄉利工三路變電箱量測,2014-06-13,宜蘭縣,五結鄉,利工三路與利寶路交叉口,落地型變壓器,2.582,mG,True
G00659,五結鄉自強路42巷變電箱量測,2014-06-13,宜蘭縣,五結鄉,自強路42巷20號前,落地型變壓器,11.48,mG,True
A00909,內湖區成功路二段與潭美街口-落地型變壓器檢測,2014-06-16,臺北市,內湖區,成功路二段與潭美街口,落地型變壓器,2.5,mG,True
G00654,冬山鄉成興路變電箱量測,2014-06-12,宜蘭縣,冬山鄉,成興路648號前,落地型變壓器,19.14,mG,True
G00651,蘇澳鎮自強路變電箱量測,2014-06-12,宜蘭縣,蘇澳鎮,自強路1號前,落地型變壓器,19.11,mG,True
