Content,Area,MajorPollutant,AQI,ForecastDate,MinorPollutant,MinorPollutantAQI,PublishTime
"1.22日北部、中部及雲嘉南地區為橘色提醒(對敏感族群不健康)。其他地區普通至良好等級，指標污染物為細懸浮微粒及臭氧。\r2.23日中南部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。24日西半部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。",澎湖,細懸浮微粒,70,2017-09-22,,,2017-09-22 01:30
"1.22日北部、中部及雲嘉南地區為橘色提醒(對敏感族群不健康)。其他地區普通至良好等級，指標污染物為細懸浮微粒及臭氧。\r2.23日中南部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。24日西半部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。",金門,細懸浮微粒,100,2017-09-22,,,2017-09-22 01:30
"1.22日北部、中部及雲嘉南地區為橘色提醒(對敏感族群不健康)。其他地區普通至良好等級，指標污染物為細懸浮微粒及臭氧。\r2.23日中南部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。24日西半部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。",馬祖,細懸浮微粒,85,2017-09-22,,,2017-09-22 01:30
"1.22日北部、中部及雲嘉南地區為橘色提醒(對敏感族群不健康)。其他地區普通至良好等級，指標污染物為細懸浮微粒及臭氧。\r2.23日中南部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。24日西半部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。",花東,,35,2017-09-24,,,2017-09-22 01:30
"1.22日北部、中部及雲嘉南地區為橘色提醒(對敏感族群不健康)。其他地區普通至良好等級，指標污染物為細懸浮微粒及臭氧。\r2.23日中南部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。24日西半部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。",花東,,35,2017-09-23,,,2017-09-22 01:30
"1.22日北部、中部及雲嘉南地區為橘色提醒(對敏感族群不健康)。其他地區普通至良好等級，指標污染物為細懸浮微粒及臭氧。\r2.23日中南部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。24日西半部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。",花東,,35,2017-09-22,,,2017-09-22 01:30
"1.22日北部、中部及雲嘉南地區為橘色提醒(對敏感族群不健康)。其他地區普通至良好等級，指標污染物為細懸浮微粒及臭氧。\r2.23日中南部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。24日西半部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。",宜蘭,細懸浮微粒,60,2017-09-24,,,2017-09-22 01:30
"1.22日北部、中部及雲嘉南地區為橘色提醒(對敏感族群不健康)。其他地區普通至良好等級，指標污染物為細懸浮微粒及臭氧。\r2.23日中南部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。24日西半部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。",宜蘭,細懸浮微粒,60,2017-09-23,,,2017-09-22 01:30
"1.22日北部、中部及雲嘉南地區為橘色提醒(對敏感族群不健康)。其他地區普通至良好等級，指標污染物為細懸浮微粒及臭氧。\r2.23日中南部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。24日西半部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。",宜蘭,細懸浮微粒,55,2017-09-22,,,2017-09-22 01:30
"1.22日北部、中部及雲嘉南地區為橘色提醒(對敏感族群不健康)。其他地區普通至良好等級，指標污染物為細懸浮微粒及臭氧。\r2.23日中南部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。24日西半部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。",高屏,細懸浮微粒,110,2017-09-24,,,2017-09-22 01:30
"1.22日北部、中部及雲嘉南地區為橘色提醒(對敏感族群不健康)。其他地區普通至良好等級，指標污染物為細懸浮微粒及臭氧。\r2.23日中南部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。24日西半部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。",高屏,細懸浮微粒,110,2017-09-23,,,2017-09-22 01:30
"1.22日北部、中部及雲嘉南地區為橘色提醒(對敏感族群不健康)。其他地區普通至良好等級，指標污染物為細懸浮微粒及臭氧。\r2.23日中南部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。24日西半部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。",高屏,細懸浮微粒,100,2017-09-22,,,2017-09-22 01:30
"1.22日北部、中部及雲嘉南地區為橘色提醒(對敏感族群不健康)。其他地區普通至良好等級，指標污染物為細懸浮微粒及臭氧。\r2.23日中南部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。24日西半部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。",雲嘉南,細懸浮微粒,115,2017-09-24,臭氧八小時,105,2017-09-22 01:30
"1.22日北部、中部及雲嘉南地區為橘色提醒(對敏感族群不健康)。其他地區普通至良好等級，指標污染物為細懸浮微粒及臭氧。\r2.23日中南部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。24日西半部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。",雲嘉南,細懸浮微粒,115,2017-09-23,臭氧八小時,105,2017-09-22 01:30
"1.22日北部、中部及雲嘉南地區為橘色提醒(對敏感族群不健康)。其他地區普通至良好等級，指標污染物為細懸浮微粒及臭氧。\r2.23日中南部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。24日西半部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。",雲嘉南,細懸浮微粒,130,2017-09-22,臭氧八小時,115,2017-09-22 01:30
"1.22日北部、中部及雲嘉南地區為橘色提醒(對敏感族群不健康)。其他地區普通至良好等級，指標污染物為細懸浮微粒及臭氧。\r2.23日中南部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。24日西半部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。",中部,細懸浮微粒,120,2017-09-24,臭氧八小時,115,2017-09-22 01:30
"1.22日北部、中部及雲嘉南地區為橘色提醒(對敏感族群不健康)。其他地區普通至良好等級，指標污染物為細懸浮微粒及臭氧。\r2.23日中南部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。24日西半部地區多為橘色提醒(對敏感族群不健康)，其他地區為普通至良好等級，指標污染物為細懸浮微粒及臭氧。",中部,細懸浮微粒,120,2017-09-23,臭氧八小時,115,2017-09-22 01:30
