SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,61,懸浮微粒,普通,2.3,0.3,59,27,7,3.2,4,41,3,4.78,1.54,2017-03-10 21:00
三重,新北市,38,,良好,6.1,2.64,,53,29,66,,,2,204.78,138.6,2017-03-10 21:00
三義,苗栗縣,44,,良好,1.3,0.33,46,12,4,8.5,3.1,35,3,10.75,2.23,2017-03-10 21:00
土城,新北市,26,,良好,2.2,1.04,17,24,20,45,1.2,127,2,48.8,3.85,2017-03-10 21:00
士林,臺北市,34,,良好,0.8,0.48,41,33,10,21,1.5,159,1,22.94,2.4,2017-03-10 21:00
大同,臺北市,47,,良好,7.7,2.54,,57,23,0,,,2,.47,.45,2017-03-10 21:00
大里,臺中市,67,懸浮微粒,普通,1.8,0.46,42,69,38,20,2.6,331,5,21.78,1.95,2017-03-10 21:00
大園,桃園市,52,臭氧,普通,2.8,0.24,62,23,9,7.9,9.6,42,2,8.95,1.09,2017-03-10 21:00
大寮,高雄市,52,懸浮微粒,普通,0.7,0.34,31,44,15,13,1,247,2,14.06,1.51,2017-03-10 21:00
小港,高雄市,54,懸浮微粒,普通,9.9,0.33,23,34,14,26,2.3,287,2,27.27,.87,2017-03-10 21:00
中山,臺北市,14,,良好,0.8,0.68,,18,,35,1.7,140,,45.86,10.42,2017-03-10 21:00
中壢,桃園市,31,,良好,2.1,0.71,27,25,10,39,1.7,94,1,56.12,17.14,2017-03-10 21:00
仁武,高雄市,57,懸浮微粒,普通,4.2,0.63,35,61,38,25,3.7,298,3,26.66,1.74,2017-03-10 21:00
斗六,雲林縣,62,懸浮微粒,普通,2.9,0.39,42,68,34,13,2.8,33,,14.56,1.25,2017-03-10 21:00
冬山,宜蘭縣,29,,良好,1.3,0.43,35,26,6,14,2,326,1,16.26,2.54,2017-03-10 21:00
古亭,臺北市,28,,良好,2.2,0.61,34,13,10,32,2.4,81,2,36.77,4.87,2017-03-10 21:00
左營,高雄市,56,懸浮微粒,普通,1.2,0.67,37,74,25,24,3.1,28,2,23.6,.03,2017-03-10 21:00
平鎮,桃園市,43,,良好,2.2,0.32,52,11,4,12,4.4,43,1,13.65,1.3,2017-03-10 21:00
永和,新北市,23,,良好,2.4,1.8,12,21,17,53,2,83,2,96.99,44.06,2017-03-10 21:00
安南,臺南市,66,懸浮微粒,普通,2,0.36,47,78,48,12,3.8,297,4,13.15,1.18,2017-03-10 21:00
朴子,嘉義縣,64,懸浮微粒,普通,1.7,0.23,59,43,13,3.6,2.9,91,3,4.53,.89,2017-03-10 21:00
汐止,新北市,50,,良好,1.1,0.26,60,6,4,7.9,3.9,48,1,8.86,.95,2017-03-10 21:00
竹山,南投縣,70,懸浮微粒,普通,4.5,0.51,27,94,58,20,1.4,35,8,20.81,.82,2017-03-10 21:00
竹東,新竹縣,34,,良好,2.6,0.66,18,28,23,29,1.2,295,3,31.13,2.15,2017-03-10 21:00
西屯,臺中市,58,懸浮微粒,普通,1.6,0.29,50,45,12,12,3.8,36,3,12.83,1.1,2017-03-10 21:00
沙鹿,臺中市,52,懸浮微粒,普通,,0.28,55,14,4,9.6,4.9,27,3,10.18,.61,2017-03-10 21:00
宜蘭,宜蘭縣,26,,良好,3.4,1.05,6.8,40,22,33,1,26,2,40.68,7.95,2017-03-10 21:00
