SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,54,懸浮微粒,普通,1.6,0.11,41,102,19,3.2,6.8,213,1,4.34,1.15,2017-06-13 14:00
三重,新北市,58,懸浮微粒,普通,3.7,0.94,,90,29,42,,,2,73.68,31.44,2017-06-13 14:00
三義,苗栗縣,34,,良好,2.4,0.09,41,50,13,4.7,4.9,193,1,5.46,.81,2017-06-13 14:00
土城,新北市,69,臭氧,普通,3.3,0.37,83,45,23,14,3.4,334,2,16.45,2.01,2017-06-13 14:00
士林,臺北市,44,,良好,4.8,0.21,53,57,16,11,1.8,264,1,11.6,.63,2017-06-13 14:00
大同,臺北市,49,,良好,2.8,0.79,,57,9,31,,,1,41.34,10.3,2017-06-13 14:00
大里,臺中市,35,,良好,1.2,0.13,37,47,7,7,5.5,228,1,8.28,1.29,2017-06-13 14:00
大園,桃園市,48,,良好,5.2,0.18,58,44,15,7.6,3.4,249,2,9.54,1.9,2017-06-13 14:00
大寮,高雄市,25,,良好,2.7,0.06,18,24,1,3.8,2,202,1,5.89,2.08,2017-06-13 14:00
小港,高雄市,52,懸浮微粒,普通,14,0.12,12,53,6,12,3,174,2,25.09,13.34,2017-06-13 14:00
中山,臺北市,33,,良好,7.2,0.46,39,35,19,22,1.5,286,,26.13,4.53,2017-06-13 14:00
中壢,桃園市,43,,良好,3,0.96,44,57,15,35,1.5,181,1,59,23.88,2017-06-13 14:00
仁武,高雄市,37,,良好,3.6,0.11,21,38,6,5,3.3,181,1,8.15,3.18,2017-06-13 14:00
斗六,雲林縣,32,,良好,3.5,0.19,38,33,12,5.5,3.8,211,1,6.66,1.21,2017-06-13 14:00
冬山,宜蘭縣,28,,良好,,,31,27,,,2.3,46,,,,2017-06-13 14:00
古亭,臺北市,0,,,19,0.29,27,27,14,25,2.5,27,,32.88,7.44,2017-06-13 14:00
左營,高雄市,0,,,1.6,0.12,18,39,1,6.1,4.4,195,,9.09,3,2017-06-13 14:00
平鎮,桃園市,35,,良好,,,,,,,1.9,266,1,,,2017-06-13 14:00
永和,新北市,31,,良好,11,0.74,35,34,25,29,2.2,63,2,39.26,10.33,2017-06-13 14:00
安南,臺南市,23,,良好,4.3,0.16,16,27,1,8.9,5,167,1,15.17,6.29,2017-06-13 14:00
朴子,嘉義縣,38,,良好,2.5,0.14,29,28,8,4.2,4.3,220,1,5.62,1.38,2017-06-13 14:00
汐止,新北市,27,,良好,16,0.18,25,21,18,16,2.8,42,2,21.51,5.56,2017-06-13 14:00
竹山,南投縣,27,,良好,1.8,0.1,32,28,11,2.4,4.8,224,1,2.87,.46,2017-06-13 14:00
竹東,新竹縣,39,,良好,1.7,0.16,47,23,,5.5,1.2,64,2,6.26,.74,2017-06-13 14:00
西屯,臺中市,49,,良好,2.4,0.12,47,70,2,3.9,6,212,1,6.81,2.86,2017-06-13 14:00
沙鹿,臺中市,40,,良好,1,0.14,49,55,18,4.5,7.1,210,2,6.43,1.92,2017-06-13 14:00
宜蘭,宜蘭縣,28,,良好,2.2,0.22,34,24,9,2.3,2.5,119,1,3.34,1.01,2017-06-13 14:00
忠明,臺中市,43,,良好,1.1,0.15,42,33,10,7.6,3.9,211,1,9.2,1.61,2017-06-13 14:00
松山,臺北市,30,,良好,26,0.21,23,41,13,21,2.3,73,2,33.27,12.45,2017-06-13 14:00
