SiteName,MonitorDate,Concentration,ItemUnit
馬公,2017-09-25,7,μg/m3
金門,2017-09-25,9,μg/m3
馬祖,2017-09-25,10,μg/m3
宜蘭,2017-09-25,11,μg/m3
陽明,2017-09-25,13,μg/m3
花蓮,2017-09-25,5,μg/m3
臺東,2017-09-25,5,μg/m3
恆春,2017-09-25,2,μg/m3
屏東,2017-09-25,19,μg/m3
前金,2017-09-25,11,μg/m3
美濃,2017-09-25,22,μg/m3
臺南,2017-09-25,14,μg/m3
新營,2017-09-25,17,μg/m3
嘉義,2017-09-25,16,μg/m3
朴子,2017-09-25,15,μg/m3
斗六,2017-09-25,18,μg/m3
南投,2017-09-25,17,μg/m3
彰化,2017-09-25,15,μg/m3
忠明,2017-09-25,17,μg/m3
豐原,2017-09-25,18,μg/m3
三義,2017-09-25,16,μg/m3
苗栗,2017-09-25,14,μg/m3
新竹,2017-09-25,12,μg/m3
竹東,2017-09-25,14,μg/m3
平鎮,2017-09-25,14,μg/m3
桃園,2017-09-25,15,μg/m3
萬華,2017-09-25,14,μg/m3
士林,2017-09-25,14,μg/m3
板橋,2017-09-25,15,μg/m3
汐止,2017-09-25,18,μg/m3
基隆,2017-09-25,15,μg/m3
馬公,2017-09-22,22,μg/m3
金門,2017-09-22,23,μg/m3
馬祖,2017-09-22,10,μg/m3
宜蘭,2017-09-22,9,μg/m3
陽明,2017-09-22,26,μg/m3
花蓮,2017-09-22,4,μg/m3
臺東,2017-09-22,4,μg/m3
恆春,2017-09-22,3,μg/m3
屏東,2017-09-22,34,μg/m3
前金,2017-09-22,26,μg/m3
美濃,2017-09-22,34,μg/m3
臺南,2017-09-22,30,μg/m3
新營,2017-09-22,35,μg/m3
嘉義,2017-09-22,37,μg/m3
朴子,2017-09-22,32,μg/m3
斗六,2017-09-22,40,μg/m3
南投,2017-09-22,35,μg/m3
彰化,2017-09-22,29,μg/m3
忠明,2017-09-22,31,μg/m3
豐原,2017-09-22,32,μg/m3
三義,2017-09-22,30,μg/m3
苗栗,2017-09-22,27,μg/m3
新竹,2017-09-22,23,μg/m3
竹東,2017-09-22,25,μg/m3
平鎮,2017-09-22,,μg/m3
桃園,2017-09-22,21,μg/m3
萬華,2017-09-22,27,μg/m3
士林,2017-09-22,25,μg/m3
板橋,2017-09-22,,μg/m3
汐止,2017-09-22,25,μg/m3
基隆,2017-09-22,20,μg/m3
馬公,2017-09-19,17,μg/m3
金門,2017-09-19,26,μg/m3
馬祖,2017-09-19,17,μg/m3
宜蘭,2017-09-19,19,μg/m3
陽明,2017-09-19,20,μg/m3
花蓮,2017-09-19,17,μg/m3
臺東,2017-09-19,13,μg/m3
恆春,2017-09-19,8,μg/m3
屏東,2017-09-19,,μg/m3
前金,2017-09-19,24,μg/m3
美濃,2017-09-19,34,μg/m3
臺南,2017-09-19,20,μg/m3
新營,2017-09-19,22,μg/m3
嘉義,2017-09-19,25,μg/m3
朴子,2017-09-19,24,μg/m3
斗六,2017-09-19,29,μg/m3
南投,2017-09-19,35,μg/m3
彰化,2017-09-19,30,μg/m3
忠明,2017-09-19,,μg/m3
豐原,2017-09-19,29,μg/m3
三義,2017-09-19,28,μg/m3
苗栗,2017-09-19,27,μg/m3
新竹,2017-09-19,28,μg/m3
竹東,2017-09-19,29,μg/m3
平鎮,2017-09-19,35,μg/m3
桃園,2017-09-19,31,μg/m3
萬華,2017-09-19,22,μg/m3
士林,2017-09-19,21,μg/m3
板橋,2017-09-19,28,μg/m3
汐止,2017-09-19,20,μg/m3
基隆,2017-09-19,17,μg/m3
馬公,2017-09-16,22,μg/m3
金門,2017-09-16,29,μg/m3
馬祖,2017-09-16,12,μg/m3
宜蘭,2017-09-16,13,μg/m3
陽明,2017-09-16,9,μg/m3
花蓮,2017-09-16,11,μg/m3
臺東,2017-09-16,,μg/m3
恆春,2017-09-16,18,μg/m3
屏東,2017-09-16,20,μg/m3
前金,2017-09-16,20,μg/m3
美濃,2017-09-16,20,μg/m3
臺南,2017-09-16,19,μg/m3
新營,2017-09-16,23,μg/m3
嘉義,2017-09-16,23,μg/m3
朴子,2017-09-16,23,μg/m3
斗六,2017-09-16,27,μg/m3
南投,2017-09-16,27,μg/m3
彰化,2017-09-16,24,μg/m3
忠明,2017-09-16,26,μg/m3
豐原,2017-09-16,22,μg/m3
三義,2017-09-16,23,μg/m3
苗栗,2017-09-16,22,μg/m3
新竹,2017-09-16,18,μg/m3
竹東,2017-09-16,16,μg/m3
平鎮,2017-09-16,16,μg/m3
桃園,2017-09-16,16,μg/m3
萬華,2017-09-16,17,μg/m3
士林,2017-09-16,16,μg/m3
板橋,2017-09-16,16,μg/m3
汐止,2017-09-16,18,μg/m3
基隆,2017-09-16,17,μg/m3
馬公,2017-09-13,16,μg/m3
金門,2017-09-13,19,μg/m3
馬祖,2017-09-13,22,μg/m3
宜蘭,2017-09-13,8,μg/m3
陽明,2017-09-13,2,μg/m3
花蓮,2017-09-13,10,μg/m3
臺東,2017-09-13,10,μg/m3
恆春,2017-09-13,8,μg/m3
屏東,2017-09-13,22,μg/m3
前金,2017-09-13,20,μg/m3
美濃,2017-09-13,20,μg/m3
臺南,2017-09-13,23,μg/m3
新營,2017-09-13,22,μg/m3
嘉義,2017-09-13,21,μg/m3
朴子,2017-09-13,24,μg/m3
斗六,2017-09-13,26,μg/m3
南投,2017-09-13,23,μg/m3
彰化,2017-09-13,20,μg/m3
忠明,2017-09-13,18,μg/m3
豐原,2017-09-13,17,μg/m3
三義,2017-09-13,13,μg/m3
苗栗,2017-09-13,15,μg/m3
新竹,2017-09-13,16,μg/m3
竹東,2017-09-13,14,μg/m3
平鎮,2017-09-13,14,μg/m3
桃園,2017-09-13,14,μg/m3
萬華,2017-09-13,16,μg/m3
士林,2017-09-13,13,μg/m3
板橋,2017-09-13,14,μg/m3
汐止,2017-09-13,13,μg/m3
基隆,2017-09-13,15,μg/m3
馬公,2017-09-10,8,μg/m3
金門,2017-09-10,9,μg/m3
馬祖,2017-09-10,10,μg/m3
宜蘭,2017-09-10,11,μg/m3
陽明,2017-09-10,15,μg/m3
花蓮,2017-09-10,9,μg/m3
臺東,2017-09-10,7,μg/m3
恆春,2017-09-10,5,μg/m3
屏東,2017-09-10,14,μg/m3
前金,2017-09-10,10,μg/m3
美濃,2017-09-10,13,μg/m3
臺南,2017-09-10,11,μg/m3
新營,2017-09-10,11,μg/m3
嘉義,2017-09-10,13,μg/m3
朴子,2017-09-10,10,μg/m3
斗六,2017-09-10,14,μg/m3
南投,2017-09-10,19,μg/m3
彰化,2017-09-10,16,μg/m3
忠明,2017-09-10,16,μg/m3
豐原,2017-09-10,17,μg/m3
三義,2017-09-10,17,μg/m3
苗栗,2017-09-10,16,μg/m3
新竹,2017-09-10,,μg/m3
竹東,2017-09-10,16,μg/m3
平鎮,2017-09-10,16,μg/m3
桃園,2017-09-10,,μg/m3
萬華,2017-09-10,17,μg/m3
士林,2017-09-10,17,μg/m3
板橋,2017-09-10,18,μg/m3
汐止,2017-09-10,22,μg/m3
基隆,2017-09-10,16,μg/m3
馬公,2017-09-07,9,μg/m3
金門,2017-09-07,15,μg/m3
馬祖,2017-09-07,12,μg/m3
宜蘭,2017-09-07,12,μg/m3
陽明,2017-09-07,14,μg/m3
花蓮,2017-09-07,7,μg/m3
臺東,2017-09-07,7,μg/m3
恆春,2017-09-07,6,μg/m3
屏東,2017-09-07,8,μg/m3
前金,2017-09-07,8,μg/m3
美濃,2017-09-07,9,μg/m3
臺南,2017-09-07,8,μg/m3
新營,2017-09-07,8,μg/m3
嘉義,2017-09-07,9,μg/m3
朴子,2017-09-07,9,μg/m3
斗六,2017-09-07,10,μg/m3
南投,2017-09-07,13,μg/m3
彰化,2017-09-07,14,μg/m3
忠明,2017-09-07,14,μg/m3
豐原,2017-09-07,15,μg/m3
三義,2017-09-07,17,μg/m3
苗栗,2017-09-07,16,μg/m3
新竹,2017-09-07,15,μg/m3
竹東,2017-09-07,18,μg/m3
平鎮,2017-09-07,17,μg/m3
桃園,2017-09-07,17,μg/m3
萬華,2017-09-07,18,μg/m3
士林,2017-09-07,17,μg/m3
板橋,2017-09-07,17,μg/m3
汐止,2017-09-07,17,μg/m3
基隆,2017-09-07,15,μg/m3
馬公,2017-09-04,9,μg/m3
金門,2017-09-04,10,μg/m3
馬祖,2017-09-04,8,μg/m3
宜蘭,2017-09-04,9,μg/m3
陽明,2017-09-04,9,μg/m3
花蓮,2017-09-04,8,μg/m3
臺東,2017-09-04,9,μg/m3
恆春,2017-09-04,8,μg/m3
屏東,2017-09-04,14,μg/m3
前金,2017-09-04,11,μg/m3
美濃,2017-09-04,11,μg/m3
臺南,2017-09-04,10,μg/m3
新營,2017-09-04,11,μg/m3
嘉義,2017-09-04,11,μg/m3
朴子,2017-09-04,11,μg/m3
斗六,2017-09-04,12,μg/m3
南投,2017-09-04,16,μg/m3
彰化,2017-09-04,,μg/m3
忠明,2017-09-04,14,μg/m3
豐原,2017-09-04,17,μg/m3
三義,2017-09-04,18,μg/m3
苗栗,2017-09-04,16,μg/m3
新竹,2017-09-04,14,μg/m3
竹東,2017-09-04,15,μg/m3
平鎮,2017-09-04,15,μg/m3
桃園,2017-09-04,16,μg/m3
萬華,2017-09-04,14,μg/m3
士林,2017-09-04,11,μg/m3
板橋,2017-09-04,14,μg/m3
汐止,2017-09-04,12,μg/m3
基隆,2017-09-04,9,μg/m3
馬公,2017-09-01,16,μg/m3
金門,2017-09-01,16,μg/m3
馬祖,2017-09-01,16,μg/m3
宜蘭,2017-09-01,8,μg/m3
陽明,2017-09-01,7,μg/m3
花蓮,2017-09-01,5,μg/m3
臺東,2017-09-01,4,μg/m3
恆春,2017-09-01,2,μg/m3
屏東,2017-09-01,11,μg/m3
前金,2017-09-01,17,μg/m3
美濃,2017-09-01,7,μg/m3
臺南,2017-09-01,21,μg/m3
新營,2017-09-01,29,μg/m3
嘉義,2017-09-01,30,μg/m3
朴子,2017-09-01,31,μg/m3
斗六,2017-09-01,28,μg/m3
南投,2017-09-01,16,μg/m3
