類別,標題,發布日期,連結
"101年輸入食品安全管理國際研討會","2012輸入食品安全管理國際研討會議程海報","2014-11-13","http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=10010&chk=780F4438-5F27-47E2-8117-D94EE313B52B"
"102年輸入食品安全管理國際研討會","2013輸入食品安全管理國際研討會議程海報","2014-11-13","http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=10011&chk=0245D0B1-77E6-41F3-8728-0A6BF8ACE76F"
"103年台歐食品安全管理國際研討會","2014台歐食品安全管理國際研討會-第一天議程海報","2014-11-13","http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=10012&chk=6B49502C-95F8-412C-8F9A-79AE21792A11"
"103年台歐食品安全管理國際研討會","2014台歐食品安全管理國際研討會-第二天議程海報","2014-11-13","http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=10013&chk=4A0886AD-1C4B-4B04-9CBD-8575B16EE275"
"103年台歐食品安全管理國際研討會","Authorisation of GMOs","2014-06-24","http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=9335&chk=AA22C3AE-B7B7-455E-8423-876CA7B9735E"
"102年輸入食品安全管理國際研討會","EU legislative framework for food safety management system and border control system","2014-06-24","http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=9318&chk=90AB8D92-4C74-4749-9CCE-EB776E6E89FC"
"102年輸入食品安全管理國際研討會","EU legislative framework for food safety management sysytem","2014-06-24","http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=9314&chk=B5E806CB-E3B2-47BD-B862-E2E1AF37B0BF"
"103年台歐食品安全管理國際研討會","EU legislative on Food Information to Consumers","2014-06-24","http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=9332&chk=E58543C8-8692-4909-9743-AC4DF8DF31CE"
"102年輸入食品安全管理國際研討會","EU tracebaility system","2014-06-24","http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=9322&chk=F834CF8B-EC58-4B06-9D52-777A4BB39408"
"103年台歐食品安全管理國際研討會","Food Controls in the EU-NVWA","2014-06-24","http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=9329&chk=6FABA5D8-0E9B-4AFA-97F2-0A650395EEDB"
"102年輸入食品安全管理國際研討會","Food product traceability implementation in France","2014-06-24","http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=9324&chk=1A4BCCBA-E231-444E-B2FF-843614757310"
"102年輸入食品安全管理國際研討會","Food safety management sysytem in the Netherlands","2014-06-24","http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=9315&chk=3A53B4CC-FEE3-4B70-86D2-2B5559841038"
"103年台歐食品安全管理國際研討會","Food Traceability in the EU","2014-06-24","http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=9333&chk=79778713-A7FA-45A0-BD75-9CA20A3DB546"
"103年台歐食品安全管理國際研討會","HACCP in the EU from the Frence Experience","2014-06-24","http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=9337&chk=EC112766-50D7-4A3B-B133-9918DF85890F"
"102年輸入食品安全管理國際研討會","Implementation of feed and live animal traceability in Belgium","2014-06-24","http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=9323&chk=46BDF32D-4F11-4D84-A65B-5529B8677B9E"
"102年輸入食品安全管理國際研討會","Implementation of food safety in Belgium","2014-06-24","http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=9316&chk=A00F9FB8-E9DE-496C-99CF-9D74BE90C6E3"
"102年輸入食品安全管理國際研討會","Implementation of food safety in France","2014-06-24","http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=9317&chk=5DD42A10-D1C5-4DCF-8448-52972E6F986A"
"102年輸入食品安全管理國際研討會","Implementation of import food management and border control in Belgium","2014-06-24","http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=9320&chk=C41A764A-61BC-4697-8980-C2342E361D99"
"102年輸入食品安全管理國際研討會","Implementation of import food management and border control in France","2014-06-24","http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=9321&chk=A5AB5262-8F95-4FA4-A7AC-E351E8C72F38"
"102年輸入食品安全管理國際研討會","Implementation of import food management and border control in the Netherlands","2014-06-24","http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=9319&chk=1479F451-AC47-4661-881F-1658A9FF7881"
"103年台歐食品安全管理國際研討會","Industry Self-Regulation","2014-06-24","http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=9334&chk=00DC8CC8-E06A-4FEA-B318-68FD2A599DF6"
"103年台歐食品安全管理國際研討會","Labelling of GMOs in the EU","2014-06-24","http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=9336&chk=DFC74163-572E-4AA7-BDE6-AD3CE7113418"
"101年輸入食品安全管理國際研討會","日本輸入查驗措施相關議題","2014-06-24","http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=9307&chk=51FD88EF-94B8-44C6-9F04-B6DF993C8654"
"101年輸入食品安全管理國際研討會","日本輸入食品管理制度及政策","2014-06-24","http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=9306&chk=CD2B6CD5-E821-4D90-A834-16FC87033094"
"103年台歐食品安全管理國際研討會","台灣食品安全衛生管理法與食品安全法規","2014-06-24","http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=9325&chk=B05317D2-38D4-468A-8B61-520C85D858D1"
"101年輸入食品安全管理國際研討會","美國FDA-輸入查驗措施相關議題","2014-06-24","http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=9309&chk=1CF5BFD8-9502-4475-A507-90B5DE63367B"
"101年輸入食品安全管理國際研討會","美國FDA-輸入食品管理制度及政策","2014-06-24","http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=9308&chk=51721800-0202-476A-A895-5B287901993F"
