年度,月份,分類,檢體名稱,農藥殘留量,抽樣衛生局,抽樣地點
"106","05~06","米類","廣興特選米","合格","臺東縣衛生局","瑞豐米行/台東縣台東市中正路157號"
"106","05~06","米類","有機白米","合格","臺東縣衛生局","池上多力米股份有限公司(建興碾米工廠門市)/台東縣池上鄉福原村中山路193之1號"
"106","05~06","米類","有機白米","合格","臺東縣衛生局","陳協和米廠展示中心/台東縣池上鄉福原村中山路257號"
"106","05~06","米類","有機白米","合格","臺東縣衛生局","池農超市/台東縣池上鄉新生路193號"
"106","05~06","米類","糙米","合格","苗栗縣政府衛生局","彤味商行/苗栗縣公館鄉館中村1鄰成功路12號1樓"
"106","05~06","米類","紅糙米","合格","宜蘭縣政府衛生局","冬山鄉農會菇菇茶米館/宜蘭縣冬山鄉永興路二段48號"
"106","05~06","米類","白米(越光米)","合格","宜蘭縣政府衛生局","喜互惠生鮮超市(五結店)/宜蘭縣五結鄉五結中路1段343號(原:五結中路13-6號)"
"106","05~06","米類","糙米","合格","桃園市政府衛生局","億客來生鮮超市/桃園市中壢區龍東路360號"
"106","05~06","米類","白米","合格","桃園市政府衛生局","億客來生鮮超市/桃園市中壢區龍東路360號"
"106","05~06","米類","三好米長秈糙米","合格","臺北市政府衛生局","全聯實業股份有限公司華山分公司/台北市中正區忠孝東路1段86號"
"106","05~06","米類","有機梗種白米","合格","臺北市政府衛生局","士東市場42號攤--四行倉庫/台北市士林區士東路100號"
"106","05~06","米類","在來米(黃袋)","合格","桃園市政府衛生局","根深企業有限公司/桃園市平鎮區貿東路58號1F"
"106","05~06","米類","在來米(綠袋)","合格","桃園市政府衛生局","根深企業有限公司/桃園市平鎮區貿東路58號1F"
"106","05~06","米類","有機黑糯糙米","合格","桃園市政府衛生局","里仁事業股份有限公司桃園大興店/桃園市桃園區大興西路二段99號"
"106","05~06","米類","白米","合格","桃園市政府衛生局","美廉社忠孝店/桃園市平鎮區忠孝路188-9號1樓"
"106","05~06","米類","白米","合格","苗栗縣政府衛生局","九九大賣場/苗栗縣苑裡鎮客庄里信義路1-2號"
"106","05~06","米類","白米","合格","宜蘭縣政府衛生局","家福股份有限公司宜蘭分公司/宜蘭縣宜蘭市民權路2段38巷2號B2"
"106","05~06","米類","白米","合格","宜蘭縣政府衛生局","家福股份有限公司宜蘭分公司/宜蘭縣宜蘭市民權路2段38巷2號B2"
"106","05~06","米類","稉型糙米","合格","宜蘭縣政府衛生局","家福股份有限公司宜蘭分公司/宜蘭縣宜蘭市民權路2段38巷2號B2"
"106","05~06","米類","有機稉糙米","合格","宜蘭縣政府衛生局","家福股份有限公司宜蘭分公司/宜蘭縣宜蘭市民權路2段38巷2號B2"
"106","05~06","米類","白米","合格","宜蘭縣政府衛生局","全聯實業股份有限公司南門分公司/宜蘭縣羅東鎮南門路86、88、90號1樓"
"106","05~06","麥類","有機紅蔾麥","合格","桃園市政府衛生局","惠康百貨股份有限公司桃園三分公司/桃園市桃園區中正路708之7,8號1樓"
"106","05~06","麥類","有機燕麥仁","合格","桃園市政府衛生局","里仁事業股份有限公司桃園大興店/桃園市桃園區大興西路二段99號"
"106","05~06","麥類","有機燕麥粒","合格","桃園市政府衛生局","大潤發平鎮店/桃園市平鎮區南東路57-1號"
"106","05~06","麥類","有機蔾麥","合格","桃園市政府衛生局","大潤發平鎮店/桃園市平鎮區南東路57-1號"
"106","05~06","雜糧類","有機甜玉米(非基因改造)","合格","花蓮縣衛生局","花蓮市農會農民購物中心/花蓮縣花蓮市中山路547號"
"106","05~06","雜糧類","有機小米","合格","桃園市政府衛生局","大潤發平鎮店/桃園市平鎮區南東路57-1號"
"106","05~06","雜糧類","有機莧籽","合格","桃園市政府衛生局","大潤發平鎮店/桃園市平鎮區南東路57-1號"
"106","05~06","乾豆類","綠豆","合格","嘉義市政府衛生局","7-11嘉賓門市/嘉義市西區垂楊路611號"
"106","05~06","乾豆類","有機黃豆","合格","桃園市政府衛生局","惠康百貨股份有限公司桃園三分公司/桃園市桃園區中正路708之7,8號1樓"
"106","05~06","乾豆類","有機綠豆","合格","桃園市政府衛生局","大潤發平鎮店/桃園市平鎮區南東路57-1號"
"106","05~06","乾豆類","有機紅豆","合格","桃園市政府衛生局","大潤發平鎮店/桃園市平鎮區南東路57-1號"
"106","05~06","乾豆類","有機青仁黑豆","合格","桃園市政府衛生局","大潤發平鎮店/桃園市平鎮區南東路57-1號"
"106","05~06","包葉菜類","綠花椰菜","合格","基隆市政府衛生局","魯山人和風壽喜鍋物/基隆市中正區信一路177號33樓"
"106","05~06","包葉菜類","高麗菜","合格","嘉義市政府衛生局","豐富家實業有限公司/嘉義市西區新西里青年街135號1樓"
"106","05~06","包葉菜類","有機甘藍(高麗菜)","合格","彰化縣衛生局","裕毛屋企業股份有限公司彰化分公司/彰化縣彰化市福安里曉陽路15號1、2樓"
"106","05~06","包葉菜類","有機甘藍","合格","彰化縣衛生局","全聯實業股份有限公司彰化旭光分公司/彰化縣彰化市華北里旭光路139.141號"
"106","05~06","包葉菜類","進口青花菜","合格","彰化縣衛生局","全聯實業股份有限公司彰化旭光分公司/彰化縣彰化市華北里旭光路139.141號"
"106","05~06","包葉菜類","有機包心白","合格","臺北市政府衛生局","棉花田生機園地股份有限公司士東門市/台北市士林區士東路97號1樓"
"106","05~06","包葉菜類","高麗菜","合格","嘉義市政府衛生局","嘉全果菜合作社/嘉義市東區林森東路367巷45號"
"106","05~06","包葉菜類","青花菜-2入","合格","臺北市政府衛生局","家福股份有限公司台北桂林分公司/台北市萬華區桂林路1號, 1-4樓"
"106","05~06","包葉菜類","高麗菜","合格","臺北市政府衛生局","大橋頭知高飯小吃店(古早味知高飯)/台北市大同區延平北路3段29號"
