類別,名稱,地址,核准劑型,核定品項,GMP核定作業內容,GDP核定作業內容,備註
"西藥製劑廠","正長生化學製藥股份有限公司","彰化縣和美鎮詔安里彰美路二段6號","非無菌製劑： 液體劑型：溶液劑。 固體劑型：錠劑（含顆粒劑、散劑）。","","","","切結不生產「”正長生”咳肯寧糖漿」（衛署藥製字第026831號）。"
"西藥製劑廠","詠大製藥股份有限公司","彰化縣和美鎮塗厝里和頭路777號","非無菌製劑： 液體劑型：溶液劑。","","","",""
"西藥製劑廠","定源生技股份有限公司","雲林縣斗六市長安里科加六路32號","硬空膠囊劑。","","","",""
"西藥製劑廠","成大藥品股份有限公司","臺南市麻豆區南勢里關帝廟80號","非無菌製劑： 液體劑型：懸液劑(含溶液劑)。 半固體劑型：軟膏劑（含乳膏劑）。 固體劑型：膜衣錠(含錠劑、顆粒劑)、膠囊劑。","","","",""
"西藥製劑廠","久松化學企業股份有限公司","彰化縣秀水鄉彰水路一段340號","非無菌製劑： 液體製劑：溶液劑。","","","儲存、供應作業",""
"西藥製劑廠","仙台藥品工業股份有限公司","臺南市新營區嘉芳里新工路35號A棟、35之1號","非無菌製劑： 液體劑型：懸液劑(含溶液劑)。 半固體劑型：軟膏劑（含乳膏劑）。 固體劑型：錠劑（含散劑）及膠囊劑。","","","",""
"西藥製劑廠","永吉製藥股份有限公司","屏東縣萬丹鄉廣安村萬丹路3段91號","非無菌製劑： 半固體劑型：軟膏劑（乳膏劑）。 固體劑型：糖衣錠（膜衣錠、錠劑、顆粒劑）及膠囊劑。","","","",""
"西藥製劑廠","尼斯可股份有限公司新莊廠","新北市新莊區中正路715號","非無菌製劑： 液體劑型：懸液劑（溶液劑）。 半固體劑型：軟膏劑（乳膏劑）。 固體劑型：錠劑（散劑）、膠囊劑。","","","",""
"西藥製劑廠","信隆藥品工業股份有限公司","台南市仁德區一甲里中正路3段269號","非無菌製劑： 半固體劑型：軟膏劑(含乳膏劑)。 固體劑型：糖衣錠(含膜衣錠、錠劑、散劑)及膠囊劑。","","","",""
"西藥製劑廠","台灣陽生製藥工業股份有限公司","屏東縣屏東市龍華里龍華路381號","非無菌製劑： 液體劑型：溶液劑。 半固體劑型：乳膏劑。 固體劑型：錠劑(含散劑)、膠囊劑。","","","",""
