機構狀態,機構名稱,地址縣市別,地址鄉鎮市區,地址街道巷弄號,負責人姓名,負責人性別,電話,是否為健保特約藥局
"開業","怡誠藥局","臺北市","中正區","汀州路二段二一二號","黃世堯","男","23625100","Y"
"開業","北車維康藥局","臺北市","中正區","青島西路7號","黃正義","男","23613509","Y"
"開業","南和藥局","臺北市","中正區","泉州街１４１號","趙常元","男","","Y"
"開業","日生大藥局","臺北市","中正區","汀州路一段５３號１樓","李志剛","男","0223031393","Y"
"開業","三元藥局","臺北市","中正區","三元街１５８號","簡素雲","女","0223052839","Y"
"開業","大安藥局","臺北市","中正區","新生南路一段一○六號","陳芸馥","女","0223213186","Y"
"開業","上海聯合藥局","臺北市","中正區","衡陽路３２號１樓","李照雄","男","0223714797","Y"
"開業","中心藥局","臺北市","中正區","汀州路三段１２１號","楊淑真","女","0223689889","Y"
"開業","楊藥局","臺北市","中正區","臨沂街２９巷１８號","楊明仁","男","0223414449","Y"
"開業","和康大藥局","臺北市","中正區","忠孝東路一段７８號１樓","江惟芳","男","0223213787","Y"
"開業","億興中西藥局","臺北市","中正區","臨沂街５６－３號１樓","李建瑩","男","0223926708","N"
"開業","古亭藥局","臺北市","中正區","汀州路三段１１７號","廖秀香","女","","Y"
"開業","新獻安藥局","臺北市","中正區","羅斯福路一段１５號","李宏仁","男","0223519891","Y"
"開業","國杏藥師示範藥局","臺北市","中正區","延平南路１７１巷３號","費工梅","女","0223811322","Y"
"開業","東華藥局","臺北市","中正區","汀州路三段一一三號","張平馬","男","0223640582","Y"
"開業","正的藥局","臺北市","中正區","汀州路三段１６０巷１號","陳文章","男","0223671267","Y"
"開業","連雲藥局","臺北市","中正區","連雲街79號","徐信誠","男","02-23410504","Y"
"開業","合泰大藥局","臺北市","中正區","衡陽路２0號","吳秀美","女","0223899977","Y"
"開業","吉星藥局","臺北市","中正區","襄陽路１９號１樓","謝素怡","女","23118438","Y"
"開業","全民藥局","臺北市","中正區","廈門街八十七號","張淑慧","女","0223695759","Y"
"開業","和平藥局","臺北市","中正區","中華路二段四十三號","曾德繁","男","23755303","Y"
"開業","丞良藥局","臺北市","中正區","南昌路一段７８號地下一樓","劉嘉敏","女","33938868","Y"
"開業","慶安藥局","臺北市","中正區","忠孝東路二段20號","陳朝揚","男","02-23582358","Y"
"開業","凱玲藥局","臺北市","中正區","青島東路四之六號一樓","劉建松","男","2392-6268","Y"
"開業","達昌藥局","臺北市","中正區","汀州路一段207號","黃?堯","男","23390109","Y"
"開業","大愛生活藥局","臺北市","中正區","汀州路二段232號","陳峙瑞","男","02-23661155","Y"
"開業","博昇藥局","臺北市","中正區","連雲街72號","王志榮","男","02-23581898","Y"
"開業","安藤健保調劑藥局","臺北市","中正區","南昌路一段130、132號","陳澤鈞","男","02-23962120","Y"
"開業","台醫藥局","臺北市","中正區","公園路30巷4號","江孟勳","男","23141202","Y"
"開業","佑康大藥局","臺北市","中正區","汀州路二段64號","蔡佳容","女","23683602","Y"
"開業","佳和藥局","臺北市","中正區","黎明里公園路30號","吳鴻翔","男","","Y"
"開業","南昌健康人生藥局","臺北市","中正區","南昌路1段153號","陳玉珊","女","02-23969382","Y"
"開業","中英大藥局","臺北市","中正區","永綏街16號","呂麗珠","女","02-23615654","Y"
"開業","琪基藥局","臺北市","中正區","杭州南路1段89號","潘玉琪","女","23414988","Y"
"開業","南寧藥局","臺北市","中正區","南昌路1段81號","謝宜霖","男","23967072","Y"
"開業","正康藥局","臺北市","中正區","漢口街1段22號","楊淑蓮","女","23712831","Y"
"開業","佳音健保藥局","臺北市","中正區","南昌路二段201號","劉叔鑫","女","23673458","Y"
"開業","建祥武昌藥局","臺北市","中正區","武昌街一段29號1樓","羅詩雯","女","23314038","Y"
"開業","進達健保藥局","臺北市","中正區","中華路二段453號","阮思維","男","23039829","Y"
"開業","活力健康藥妝藥局","臺北市","中正區","中華路二段315巷1號","蕭聖鈞","男","0982757037-23392625","Y"
"開業","中力藥局","臺北市","中正區","襄陽路13之5號、15號","黃裕仁","男","23611775","Y"
"開業","信康藥局","臺北市","中正區","南昌路一段143號","曾資尹","女","23961979","Y"
"開業","新三醫藥局","臺北市","中正區","汀州路三段125號","郭耀鴻","男","2364-4818","Y"
"開業","保德中華藥局","臺北市","中正區","中華路二段159號","蕭宇凱","男","02-23027720","Y"
"開業","京躍藥局","新北市","板橋區","新海路86號1樓","李璟旻","男","02-2258-0669","Y"
"開業","莊敬健康人生藥局","新北市","板橋區","莊敬路87號1樓","陳怡卉","女","02-2257-0028","Y"
"開業","樺新健保藥局","新北市","板橋區","華興街52號1樓","高挺凱","男","02-29525130","Y"
"開業","杏文藥局","新北市","板橋區","實踐路185號1樓","陳平易","男","02-2955-5699","Y"
"開業","幸福健保藥局","新北市","板橋區","四維路106號1樓","陳永昇","男","02-22530009","Y"
"開業","和安藥局","新北市","板橋區","四川路1段171號1樓","林作輝","男","02-29562068","Y"
"開業","躍獅國慶藥局","新北市","板橋區","國慶路179號(1樓)","何幸芝","女","02-2964-1548","Y"
"開業","湯明藥局","新北市","板橋區","中山路2段319號1樓","蔡雅婷","女","02-2957-1980","Y"
"開業","嘉恩健保藥局","新北市","板橋區","陽明街40號2樓","蘇俊穎","男","02-22509566","Y"
"開業","正陽藥局","新北市","板橋區","雙十路2段116號1樓","李曉玲","女","02-22592667","Y"
