台大氣體股份有限公司	彰化縣溪湖鎮東溪里員鹿路一段38巷46號	105/12/15	106/2/16	國內藥廠   	
尼斯可股份有限公司新莊廠	新北市新莊區中正路715號	105/11/9-10	106/2/9	國內藥廠   	
合誠化學製藥股份有限公司	桃園市平鎮區工業十路15號	105/12/6, 7, 9, 20	106/2/9	國內藥廠   	
政德製藥股份有限公司	雲林縣大埤鄉嘉興村豐田路2號	105/10/26-28	105/12/26	國內藥廠   	
信隆藥品工業股份有限公司	臺南市仁德區一甲里中正路3段 269號	105/10/27-28	105/12/8	國內藥廠   	
利達製藥股份有限公司	臺中市大甲區岷山里中山路一段906號		105/11/24	國內藥廠   	
人生製藥股份有限公司	臺中市西屯區協和里工業區五路3號	105/9/29-30	105/11/10	國內藥廠   	
中美兄弟製藥股份有限公司	彰化縣彰化市東芳里彰鹿路106號	105/9/22-23	105/11/10	國內藥廠   	
臺灣派頓化學製藥股份有限公司	高雄市岡山區為隨里為隨東路50號	105/8/30-31	105/10/13	國內藥廠   	
五福化學製藥股份有限公司	宜蘭縣蘇澳鎮龍德里德興八路9號		105/8/18	國內藥廠   	
仙台藥品工業股份有限公司	台南市新營區嘉芳里新工路35號A棟、35之1號		105/5/26	國內藥廠   	
 天乾製藥有限公司 	台南市將軍區忠興里忠興132之35號		105/5/1	國內藥廠   	
