廠名,地址,查廠日期,發佈日期,類別
"景德製藥股份有限公司","桃園市蘆竹區內厝里長安路一段80號、148號2樓至7樓","106/3/22-24","106/5/25","國內藥廠   "
"三岳化成股份有限公司","嘉義縣民雄鄉北斗村中正路5號","106/3/29-30","106/5/11","國內藥廠   "
"溫士頓醫藥股份有限公司","臺南市永康區塩洲里仁愛街117號","106/1/23-25","106/4/6","國內藥廠   "
"台大氣體股份有限公司","彰化縣溪湖鎮東溪里員鹿路一段38巷46號","105/12/15","106/2/16","國內藥廠   "
"尼斯可股份有限公司新莊廠","新北市新莊區中正路715號","105/11/9-10","106/2/9","國內藥廠   "
"合誠化學製藥股份有限公司","桃園市平鎮區工業十路15號","105/12/6, 7, 9, 20","106/2/9","國內藥廠   "
"信隆藥品工業股份有限公司","臺南市仁德區一甲里中正路3段 269號","105/10/27-28","105/12/8","國內藥廠   "
"人生製藥股份有限公司","臺中市西屯區協和里工業區五路3號","105/9/29-30","105/11/10","國內藥廠   "
"臺灣派頓化學製藥股份有限公司","高雄市岡山區為隨里為隨東路50號","105/8/30-31","105/10/13","國內藥廠   "
"五福化學製藥股份有限公司","宜蘭縣蘇澳鎮龍德里德興八路9號","","105/8/18","國內藥廠   "
