廠名,地址,查廠日期,發佈日期,類別
"麥迪森醫藥股份有限公司桃園廠","桃園市桃園區大林里桃鶯路445之2號1樓","","106/8/31","國內藥廠   "
"宇碩興業有限公司","新北市林口區文化二路一段376巷3號3樓之2","","106/8/24","國內藥廠   "
"台大氣體股份有限公司","彰化縣溪湖鎮東溪里員鹿路一段38巷46號","","106/7/6","國內藥廠   "
"天良生物科技企業股份有限公司","新北市汐止區大同路一段147號9樓","","106/6/15","國內藥廠   "
"中榮貿易股份有限公司","新北市三重區福隆路5號2樓（倉庫地址：新北市三重區福隆路5號1樓）","","106/6/15","國內藥廠   "
"景德製藥股份有限公司","桃園市蘆竹區內厝里長安路一段80號、148號2樓至7樓","","106/5/25","國內藥廠   "
"三岳化成股份有限公司","嘉義縣民雄鄉北斗村中正路5號","","106/5/11","國內藥廠   "
"台大氣體股份有限公司","彰化縣溪湖鎮東溪里員鹿路一段38巷46號","","106/2/16","國內藥廠   "
"尼斯可股份有限公司新莊廠","新北市新莊區中正路715號","","106/2/9","國內藥廠   "
"合誠化學製藥股份有限公司","桃園市平鎮區工業十路15號","","106/2/9","國內藥廠   "
