講習類別,講習開始日期,講習結束日期,講習時數,參加對象,招收人數,講習縣市,報名方式,講習地點,報名類別,報名開始日期,報名結束日期,報名地點,承辦單位,承辦人,連絡電話,承辦人Email,核備單位,核備文號,核備日期,備註說明,會員講習費用,非會員講習費用,課程名稱,時數,講師姓名,上課時間
"持證廚師","1050715","1050715","8","持證廚師繼續教育","132","臺南市","請洽辦理單位","臺南市六甲國小活動中心會議室","依期間","1070701","1070714","新北市中和區中正路866之11號11樓","財團法人慈寶安全衛生環境科學暨社會福利基金會","蕭增寶","02-32344482","chefortw@gamil.com","臺南市衛生局","南市衛食藥字第1050106101號","1050705","請於開課前至本會報名或以繳費收據及基本資料傳真至本會來電確認劃位。課程資訊請上http：//www.chef.org.tw下載報名表","0","0","A型肝炎及諾羅病毒預防","2","吳許得","0830"
"持證廚師","1050715","1050715","8","持證廚師繼續教育","132","臺南市","請洽辦理單位","臺南市六甲國小活動中心會議室","依期間","1070701","1070714","新北市中和區中正路866之11號11樓","財團法人慈寶安全衛生環境科學暨社會福利基金會","蕭增寶","02-32344482","chefortw@gamil.com","臺南市衛生局","南市衛食藥字第1050106101號","1050705","請於開課前至本會報名或以繳費收據及基本資料傳真至本會來電確認劃位。課程資訊請上http：//www.chef.org.tw下載報名表","0","0","我國食品相關認證與食品覆歷","2","黃健政","1500"
"持證廚師","1050715","1050715","8","持證廚師繼續教育","132","臺南市","請洽辦理單位","臺南市六甲國小活動中心會議室","依期間","1070701","1070714","新北市中和區中正路866之11號11樓","財團法人慈寶安全衛生環境科學暨社會福利基金會","蕭增寶","02-32344482","chefortw@gamil.com","臺南市衛生局","南市衛食藥字第1050106101號","1050705","請於開課前至本會報名或以繳費收據及基本資料傳真至本會來電確認劃位。課程資訊請上http：//www.chef.org.tw下載報名表","0","0","食物製備與貯存及食材驗收與源頭管理","2","黃健政","1300"
"持證廚師","1050715","1050715","8","持證廚師繼續教育","132","臺南市","請洽辦理單位","臺南市六甲國小活動中心會議室","依期間","1070701","1070714","新北市中和區中正路866之11號11樓","財團法人慈寶安全衛生環境科學暨社會福利基金會","蕭增寶","02-32344482","chefortw@gamil.com","臺南市衛生局","南市衛食藥字第1050106101號","1050705","請於開課前至本會報名或以繳費收據及基本資料傳真至本會來電確認劃位。課程資訊請上http：//www.chef.org.tw下載報名表","0","0","個人衛生與敬業精神","2","吳許得","1030"
"持證廚師","1061218","1061218","8","持證廚師繼續教育","130","桃園市","請洽辦理單位","中壢區延平路176號","即日起","1060101","1061218","中壢區環北路400號13樓之2","桃園市烹飪商業同業公會","楊美珍","03-4269769","Food9769@ms57.hinet.net","桃園市衛生局","桃衛食藥字第1060001815號函","","響應環保 學員請自備水杯。","500","800","食材來源與供餐作業流程","2","協商中",""
"持證廚師","1061218","1061218","8","持證廚師繼續教育","130","桃園市","請洽辦理單位","中壢區延平路176號","即日起","1060101","1061218","中壢區環北路400號13樓之2","桃園市烹飪商業同業公會","楊美珍","03-4269769","Food9769@ms57.hinet.net","桃園市衛生局","桃衛食藥字第1060001815號函","","響應環保 學員請自備水杯。","500","800","認識黑心食品","2","協商中",""
"持證廚師","1061218","1061218","8","持證廚師繼續教育","130","桃園市","請洽辦理單位","中壢區延平路176號","即日起","1060101","1061218","中壢區環北路400號13樓之2","桃園市烹飪商業同業公會","楊美珍","03-4269769","Food9769@ms57.hinet.net","桃園市衛生局","桃衛食藥字第1060001815號函","","響應環保 學員請自備水杯。","500","800","廚師道德與食品良好規範","2","協商中",""
"持證廚師","1061218","1061218","8","持證廚師繼續教育","130","桃園市","請洽辦理單位","中壢區延平路176號","即日起","1060101","1061218","中壢區環北路400號13樓之2","桃園市烹飪商業同業公會","楊美珍","03-4269769","Food9769@ms57.hinet.net","桃園市衛生局","桃衛食藥字第1060001815號函","","響應環保 學員請自備水杯。","500","800","調味料 醬料簡介與應用","2","協商中",""
"持證廚師","1061129","1061129","8","持證廚師繼續教育","60","臺北市","請洽辦理單位","臺北市開平餐飲學校","即日起","1060324","1061127","https://goo.gl/forms/Cod6nRMavBeEoGMc2","臺北市私立開平餐飲職業學校","李文怡","02-27556939","wenyi8858@kpvs.tp.edu.tw","臺北市衛生局","北市衛食藥字第10630191600號函","1060110","報名後,請來電確認","500","700","食品良好衛生規範準則","2","專業師資","1030"
"持證廚師","1061129","1061129","8","持證廚師繼續教育","60","臺北市","請洽辦理單位","臺北市開平餐飲學校","即日起","1060324","1061127","https://goo.gl/forms/Cod6nRMavBeEoGMc2","臺北市私立開平餐飲職業學校","李文怡","02-27556939","wenyi8858@kpvs.tp.edu.tw","臺北市衛生局","北市衛食藥字第10630191600號函","1060110","報名後,請來電確認","500","700","健康飲食新知","2","專業師資","1330"
