審查機關,產品類別,廣告品名,申請廠商,廣告核准字號,核准起始日期,核准結束日期,廣告類別
"新北市","化粧品","1.精緻美妍保濕調理液2.精緻嫩白C3.精緻美妍喚膚霜4.24K金箔頸顏緊緻面膜5.赫蒂法舒靜潔膚慕斯6.赫蒂法舒靜保濕精華7.赫蒂法舒靜活顏凝霜8.赫蒂法瞬效靚白面膜","冠亨生技股份有限公司","北衛粧廣字10508210","1050919","1060919","電影、電視(秒數:10)"
"新北市","化粧品","日本蘆薈滋養霜","三合興藥業有限公司","北衛粧廣字10508209","1050923","1060923","電台(秒數:210秒)"
"新北市","化粧品","1.Bioré 極緻精華油沐浴乳-盛綻花宴2.Bioré 極緻精華油沐浴乳-清新綠蹤","花王(台灣)股份有限公司","北衛粧廣字10508231","1050905","1060905","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"新北市","化粧品","1.Bioré 極緻精華油沐浴乳-盛綻花宴2.Bioré 極緻精華油沐浴乳-清新綠蹤","花王(台灣)股份有限公司","北衛粧廣字10508232","1050905","1060905","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"新北市","化粧品","1.adp 魚子凍齡精華乳2.Dr.HUANG 肌本護敏身體霜3.Dr.HUANG 碧蘿芷凍齡眼霜4.Dr.HUANG 碧蘿芷 All In One 逆齡霜5.Dr.HUANG 碧蘿芷緊緻乳","健耀生醫有限公司","北衛粧廣字10508223","1050825","1060904","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺中市","化粧品","1.托斯卡納經典馬賽皂2.托斯卡納幸福香氛皂三入組3.托斯卡納滋養手甲霜4.托斯卡納橄欖潔膚液","菁華美實業有限公司","中市衛粧廣字10509422","1050906","1060906","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"新北市","化粧品","1.柔膚榛果手工皂2.茶花何首烏洗髮皂3.左手香皂4.乳油木洋甘菊手工皂5.抹草平安皂(寶寶用)6.抹草平安皂7.無香純皂(乾性)8.無香純皂(中性)9.蜂蜜牛乳可可皂10.益母草手工皂","好郁皂天然手作坊","北衛粧廣字10508230","1050825","1060919","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺南市","藥品","＂三友＂膚博氏足癬乳膏10毫克/公克(特比納芬)＂SUN YOU＂ TINEA CREAM 10MG/GM (TERBINAFINE)","三友生技醫藥股份有限公司","南市衛藥廣字1050810012","1050916","1060916","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺南市","化粧品","Deary®媞爾妮馬油滋養修護潤膚乳,Deary®媞爾妮新玫瑰Q10修護潤唇膏,Deary®媞爾妮新玫瑰Q10細白手足霜","統欣生物科技股份有限公司","南市衛粧廣字1050900006","1050921","1060921","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺南市","化粧品","輕柔潔面乳,冰泉青春日霜,冰泉青春晚霜,冰泉青春眼霜,深層保濕乳,完美肌膚精華露,可魅麗CC美白霜(No.1)SPF30,可魅麗CC霜(No.3)SPF30","尚禹企業社","南市衛粧廣字1051000006","1051014","1061014","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等);;其他(月曆)"
"桃園縣","化粧品","1.深海泥玫瑰果洗顏皂2.黑糖蜂蜜牛奶潤澤洗顏皂3.備長炭清爽控油洗顏皂4.榛果薰衣草洗顏皂5.阿勒坡中性潔顏皂6.紫草馬賽滋養皂7.蔚藍海岸潔淨皂8.荷荷巴山茶洗髮皂9.苦茶蓖麻滋養洗髮皂10.首烏芝麻清爽洗髮皂","晨晞創皂工作室","桃衛粧廣字10508067","1050905","1060905","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"桃園縣","化粧品","1.Chalmi Ardo頂級奢華全方位抗老逆齡修護面膜2.Chalmi Ardo賦活保濕倍感潤澤面膜3.Chalmi Ardo珍珠光感極緻透白美白面膜","湘苡國際股份有限公司","桃衛粧廣字10508068","1050905","1060905","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"桃園縣","化粧品","時尚色繪尚質長效精華粉蜜 SPF20","台灣資生堂股份有限公司","桃衛粧廣字10508069","1050905","1060905","電影、電視(秒數:20);;網路"
"桃園縣","化粧品","資生堂紅妍肌活露","台灣資生堂股份有限公司","桃衛粧廣字10508070","1050905","1060905","電影、電視(秒數:20);;網路"
"衛福部","化粧品","全效超導時空交曩","幸運化學工業有限公司","衛部粧廣字10509014","1050906","1060906","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"衛福部","醫療器材","“康揚”電動輪椅","康揚股份有限公司","衛部器廣字10509001","1050901","1060922","電影、電視(秒數:267);;網路"
"新北市","化粧品","1.20%杏仁酸煥膚調理精華2.玻尿酸4D深層保濕精華3.胜肽緊緻調理精華4.復活草活顏修護精華5.冰河醣蛋白安瓶組6.瞬效撫紋眼部精華乳7.草本舒緩保濕噴霧8.逆時空賦活膠囊","維科生技有限公司","北衛粧廣字10508234","1050916","1060916","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"新北市","化粧品","1.20% 杏仁酸煥膚調理精華2.精純玻尿酸保濕液3.水保濕滋潤霜4.柔敏舒緩水盈面膜5.藍銅胜肽彈力抗皺霜6.瞬效撫紋眼部精華乳7.MGF 賦活舒緩晶凍8.寶寶保濕修護面霜9.淨白緊緻眼膜10.神經醯胺保濕精華露","維科生技有限公司","北衛粧廣字10508235","1050925","1060925","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
