產品名稱,廠商名稱,遊戲平台,級別,情節,上市日期
Ultima I: The First Age of Darkness,Electronic Arts Asia Pacific Pte Ltd,PC單機,輔15,暴力,1981-07-09
Ultima II: The Revenge of the Enchantress,Electronic Arts Asia Pacific Pte Ltd,PC單機,輔15,暴力,1982-08-24
Ultima III: Exodus,Electronic Arts Asia Pacific Pte Ltd,PC單機,輔15,暴力,1983-08-23
Ultima IV: Quest of the Avatar,Electronic Arts Asia Pacific Pte Ltd,PC單機,輔15,暴力,1985-09-16
Starflight™ 1,Electronic Arts Asia Pacific Pte Ltd,PC單機,輔15,暴力,1986-08-15
Ultima V: Warriors of Destiny,Electronic Arts Asia Pacific Pte Ltd,PC單機,輔15,暴力,1988-10-05
Starflight™ 2,Electronic Arts Asia Pacific Pte Ltd,PC單機,輔15,暴力,1989-05-01
Populous™,Electronic Arts Asia Pacific Pte Ltd,PC單機,輔15,暴力,1989-06-06
Ultima VI: The False Prophet,Electronic Arts Asia Pacific Pte Ltd,PC單機,輔15,暴力,1990-03-01
Wing Commander™ 1,Electronic Arts Asia Pacific Pte Ltd,PC單機,輔15,"暴力,菸酒,不當言語",1990-09-26
Wing Commander™ 2,Electronic Arts Asia Pacific Pte Ltd,PC單機,輔15,"暴力,菸酒,不當言語",1991-04-14
Populous™ 2,Electronic Arts Asia Pacific Pte Ltd,PC單機,輔15,暴力,1991-08-31
Ultima™ Underworld 1,Electronic Arts Asia Pacific Pte Ltd,PC單機,輔12,暴力,1992-03-01
Ultima™ VII: The Complete Edition,Electronic Arts Asia Pacific Pte Ltd,PC單機,輔15,暴力,1992-04-16
Lands of Lore™ The Throne of Chaos,Electronic Arts Asia Pacific Pte Ltd,PC單機,輔15,暴力,1993-01-01
Ultima™ Underworld 2,Electronic Arts Asia Pacific Pte Ltd,PC單機,輔12,暴力,1993-01-10
Syndicate™ Plus,Electronic Arts Asia Pacific Pte Ltd,PC單機,輔15,暴力,1993-06-05
Wing Commander™: Privateer,Electronic Arts Asia Pacific Pte Ltd,PC單機,輔12,暴力,1993-10-09
Ultima™ 8 Gold Edition,Electronic Arts Asia Pacific Pte Ltd,PC單機,限,暴力,1994-03-05
Wing Commander 3™: Heart of the Tiger™,Electronic Arts Asia Pacific Pte Ltd,PC單機,輔15,"暴力,不當言語",1994-03-27
Magic Carpet™,Electronic Arts Asia Pacific Pte Ltd,PC單機,輔15,暴力,1994-05-06
SimCity 2000™,Electronic Arts Asia Pacific Pte Ltd,PC單機,護,未涉及任何情節,1995-02-08
Crusader: No Remorse™,Electronic Arts Asia Pacific Pte Ltd,PC單機,輔15,暴力,1995-08-31
Wing Commander™ IV: The Price of Freedom,Electronic Arts Asia Pacific Pte Ltd,PC單機,限,"暴力,不當言語",1996-02-12
Crusader: No Regret™,Electronic Arts Asia Pacific Pte Ltd,PC單機,輔15,暴力,1996-09-10
勇者泡泡龍1,龍愛科技有限公司,PC單機,普,未涉及任何情節,1997-01-20
Theme Hospital™,Electronic Arts Asia Pacific Pte Ltd,PC單機,輔12,暴力,1997-03-31
Dungeon Keeper™,Electronic Arts Asia Pacific Pte Ltd,PC單機,限,暴力,1997-06-25
紅樓夢之玲瓏彩玉,龍愛科技有限公司,PC單機,普,未涉及任何情節,1997-07-01
幻想時空,弘煜科技事業股份有限公司,PC單機,輔12,未涉及任何情節,1997-08-01
《網路創世紀》角色轉服碼,Electronic Arts Asia Pacific Pte Ltd,PC線上,輔15,暴力,1997-09-24
Lands of Lore™ Guardians of Destiny,Electronic Arts Asia Pacific Pte Ltd,PC單機,輔15,暴力,1997-10-01
世紀帝國,台灣微軟,PC單機,輔15,未涉及任何情節,1997-10-15
EQ大富翁,弘煜科技事業股份有限公司,PC單機,輔12,未涉及任何情節,1998-01-15
象棋武林帖,晟業資訊股份有限公司,PC單機,普,未涉及任何情節,1998-02-01
狗子阿利,龍愛科技有限公司,PC單機,普,未涉及任何情節,1998-02-01
勇者泡泡龍2,龍愛科技有限公司,PC單機,普,未涉及任何情節,1998-06-17
恰哥與肥佬,弘煜科技事業股份有限公司,PC單機,普,未涉及任何情節,1998-06-30
大蕃薯online,鉅崴科技有限公司,PC線上,護,棋牌益智,1998-07-23
大富翁4,大宇資訊股份有限公司,PC單機,護,棋牌益智,1998-10-01
象棋兵法-反攻馬篇,晟業資訊股份有限公司,PC單機,普,未涉及任何情節,1998-11-30
象棋兵法-單提馬篇,晟業資訊股份有限公司,PC單機,普,未涉及任何情節,1998-11-30
Populous™: The Beginning,Electronic Arts Asia Pacific Pte Ltd,PC單機,輔15,暴力,1998-11-30
麻將夢幻國,龍愛科技有限公司,PC單機,普,棋牌益智,1999-01-08
Sid Meier\\\'s Alpha Centauri™,Electronic Arts Asia Pacific Pte Ltd,PC單機,護,未涉及任何情節,1999-01-31
Lands of Lore™ III,Electronic Arts Asia Pacific Pte Ltd,PC單機,輔15,暴力,1999-03-03
風色幻想-魔導聖戰,弘煜科技事業股份有限公司,PC單機,輔12,未涉及任何情節,1999-03-15
兒童象棋,晟業資訊股份有限公司,PC單機,普,未涉及任何情節,1999-04-15
Dungeon Keeper™ 2,Electronic Arts Asia Pacific Pte Ltd,PC單機,限,暴力,1999-07-07
象棋兵法-列炮篇,晟業資訊股份有限公司,PC單機,普,未涉及任何情節,1999-07-31
象棋兵法-順炮篇,晟業資訊股份有限公司,PC單機,普,未涉及任何情節,1999-07-31
世紀帝國 2: 帝王世紀,台灣微軟,PC單機,輔15,未涉及任何情節,1999-09-30
太平天國-天下一統,極真科技股份有限公司,PC單機,護,未涉及任何情節,1999-10-25
Ultima™ IX: Ascension,Electronic Arts Asia Pacific Pte Ltd,PC單機,限,暴力,1999-11-24
神氣兔寶貝,龍愛科技有限公司,PC單機,普,未涉及任何情節,1999-12-16
風色幻想SP-封神之刻,弘煜科技事業股份有限公司,PC單機,輔12,未涉及任何情節,2000-01-15
