"lineid","car","time","location","longitude","latitude"
"244019","403-UM","2017/06/05 20:37:56","新北市林口區粉寮69號","121.40512","25.0908016666667"
"241032","269-UM","2017/06/05 22:09:03","新北市五股區中興路三段171-2號","121.44365","25.0810533333333"
"235026","800-TS","2017/06/05 20:34:01","新北市中和區員山路36巷16-3號","121.485011666667","24.9913216666667"
"247006","341-TH","2017/06/05 19:22:14","新北市五股區中興路三段2巷10號","121.448891666667","25.0813683333333"
"247008","339-TH","2017/06/05 22:07:19","新北市八里區荖阡坑路32號","121.403166666667","25.1276216666667"
"224011","420-VK","2017/06/05 22:08:57","新北市瑞芳區傑魚坑路263-1號","121.78712","25.10603"
"251004","009-UM","2017/06/05 22:06:33","新北市淡水區民族路110巷8號","121.462155","25.135485"
"251007","179-VK","2017/06/05 22:09:01","新北市淡水區北新路137號","121.449428333333","25.1788116666667"
"251008","181-VK","2017/06/05 22:09:03","新北市淡水區學府路104號","121.449895","25.1717933333333"
"251015","442-VK","2017/06/05 22:09:02","新北市淡水區水碓街7號","121.443161666667","25.1770933333333"
"251005","443-VK","2017/06/05 22:09:09","新北市淡水區鄧公路30巷2弄38號","121.454088333333","25.1692366666667"
"251011","650-BX","2017/06/05 22:09:07","新北市淡水區沙崙路200號","121.424811666667","25.18404"
"252002","178-VK","2017/06/05 21:08:51","新北市三芝區埔坪里埔頭坑41號","121.504656666667","25.2645966666667"
"220090","288-VK","2017/06/05 21:20:05","新北市板橋區民生路二段120號","121.470376666667","25.019595"
"220034","630-UY","2017/06/05 21:53:17","新北市板橋區華東街1-10號","121.448598333333","24.9948883333333"
