"ID","AVAILABLECAR"
"010001","54"
"010004","9"
"010008","-9"
"010009","32"
"010010","53"
"010011","36"
"010013","300"
"010014","21"
"010015","10"
"010016","1"
"010018","45"
"010020","68"
"010021","37"
"010021","37"
"010022","6"
"010024","44"
"010028","-9"
"010029","17"
"010031","365"
"010033","15"
"010034","-9"
"010036","31"
"010037","-9"
"010038","14"
"010039","58"
"010040","12"
"010041","-9"
"010042","-9"
"010043","7"
"010044","96"
"010045","54"
"010046","3"
"010049","-9"
"010050","-9"
"010053","-9"
"010054","-9"
"010056","-9"
"010059","-9"
"010064","-9"
"010065","-9"
"010068","-9"
"010069","-9"
"010070","-9"
"010072","-9"
"010075","-9"
"010079","-9"
"010082","-9"
"010085","11"
"010086","-9"
"010090","-9"
"010091","-9"
"010092","-9"
"010093","-9"
"010096","-9"
"010097","-9"
"010103","10"
"010104","14"
"010108","12"
"010109","-9"
"010110","31"
"010112","-9"
"010114","-9"
"010115","-9"
"010116","-9"
"010117","-9"
"010120","-9"
"010121","-9"
"010122","-9"
"010123","178"
"010125","15"
"010126","-9"
"010127","-9"
"010128","-9"
"010129","-9"
"010130","-9"
"010131","93"
"010132","-9"
"010134","-9"
"010135","-9"
"010136","-9"
"010137","-9"
"010138","-9"
"010139","20"
"010140","15"
"010142","-9"
"010143","-9"
"010144","-9"
"010145","-9"
"010146","19"
"010147","-9"
"010148","-9"
"010149","55"
"010151","-9"
"010152","17"
"010153","-9"
"010154","16"
"010155","-9"
"010156","116"
"010157","36"
"010158","-9"
"010159","-9"
"010160","-9"
"010163","-9"
"010164","-9"
"010165","-9"
"010166","-9"
"010167","-9"
"020001","25"
"020002","0"
"020004","41"
"020005","68"
"020005","68"
"020006","16"
"020007","31"
"020008","34"
"020009","55"
"020010","-9"
"020011","14"
"020014","0"
"020016","46"
"020017","-9"
"020017","-9"
"020018","-9"
"020019","-9"
"020020","3"
"020021","42"
"020023","-9"
"020024","-9"
"020025","-9"
"020026","-9"
"020027","-9"
"020027","-9"
"020029","-9"
"020034","-9"
"020035","-9"
"020036","41"
"020037","-9"
"020038","37"
"020039","30"
"020039","30"
"020043","-9"
"020044","-9"
"020049","-9"
"020051","-9"
"020052","-9"
"020053","-9"
"020055","-9"
"020056","-9"
"020057","-9"
"020058","15"
"020060","-9"
"020061","-9"
"020065","-9"
"020067","-9"
"020068","-9"
"020071","-9"
"020072","20"
"020073","37"
"020079","-9"
"020082","-9"
"020082","-9"
"020087","-9"
"020091","-9"
"020092","-9"
"020095","-9"
"020096","-9"
"020097","-9"
"020102","134"
"020104","-9"
"020105","-9"
"020106","-9"
"020107","-9"
"020108","-9"
"020109","16"
"020110","-9"
"020112","-9"
"020113","23"
"020114","-9"
"020116","-9"
"020117","-9"
"020118","-9"
"020119","3"
"020120","-9"
"020121","-9"
"020122","-9"
"020123","76"
"020124","-9"
"020125","-9"
"020126","-9"
"020127","-9"
"020128","-9"
"020129","-9"
"030001","-9"
"030003","17"
"030004","63"
"030006","-9"
"030007","61"
"030008","7"
"030009","39"
"030010","1"
"030012","23"
"030012","23"
"030015","22"
